Platform,Title,Genre,Publisher,Developer,Release Date,Audience Rating
Family Computer / Famicom,Clu Clu Land,Action,Nintendo,Nintendo,22-Nov-84,
Family Computer / Famicom,Demon Sword,"Action, Platformer",Taito,Taito,29-Mar-89,
Family Computer / Famicom,F1 Race,Racing,Nintendo,HAL Laboratory Inc.,2-Nov-84,
Family Computer / Famicom,Final Fantasy I-II,RPG,SquareSoft,SquareSoft,27-Feb-94,
Family Computer / Famicom,Gradius,Shooter,Konami,Konami,25-Apr-86,
Family Computer / Famicom,Hokuto no Ken II: Seikimatsu Kyuuseishu Densetsu,Action,Toei Animation,Shouei,17-Apr-87,
Family Computer / Famicom,Holy Diver,Platformer,Irem,Irem,28-Apr-89,
Family Computer / Famicom,RockMan 5,Platformer,Capcom,Capcom,4-Dec-92,
Family Computer / Famicom,Super Mario Bros.,Platformer,Nintendo,Nintendo,13-Sep-85,
Family Computer / Famicom,Super Mario Bros. 3,Platformer,Nintendo,Nintendo,23-Oct-88,
Family Computer Disk System,Akumajo Dracula,Platformer,Konami,Konami,26-Sep-86,
Family Computer Disk System,Famicom Grand Prix II: 3D Hot Rally,Racing,Nintendo,Nintendo,14-Apr-88,
Family Computer Disk System,Famicom Grand Prix: F1 Race,Racing,Nintendo,Nintendo,30-Oct-87,
Family Computer Disk System,The Legend of Zelda 2: Link no Bouken,"Action/Adventure, Adventure",Nintendo,Nintendo,14-Jan-87,
Family Computer Disk System,The Mysterious Murasame Castle,Action,Nintendo,Nintendo,14-Apr-86,
Family Computer Disk System,Super Mario Bros. 2,Adventure,Nintendo,Nintendo,3-Jun-86,
Family Computer Disk System,Yume Koujou: Doki Doki Panic,Platformer,Fuji Television,Nintendo,10-Jul-87,
Family Computer Disk System,Zelda no Densetsu: The Hyrule Fantasy,Action/Adventure,Nintendo,Nintendo,21-Feb-86,
Game Boy,The Castlevania Adventure,"Action, Adventure",Konami,"Konami Co., Ltd.",27-Dec-90,
Game Boy,Castlevania II: Belmont's Revenge,"Action, Adventure","Konami of America, Inc.",Konami,12-Aug-91,
Game Boy,Final Fantasy Adventure,RPG,Sunsoft,Square Co. Ltd.,1-Nov-91,
Game Boy,Game & Watch Gallery,"Action, Compilation","Nintendo of America, Inc.",Nintendo Co. Ltd.,1997,
Game Boy,Gargoyle's Quest,Action,Capcom USA,Capcom,1990,
Game Boy,Harvest Moon,Simulation,Crave Entertainment,,1998,
Game Boy,Kid Icarus: Of Myths and Monsters,Shooter,Nintendo,Nintendo Co. Ltd.,1991,
Game Boy,Metroid II: Return of Samus,"Action, Adventure, Shooter",Nintendo,Nintendo,26-Aug-92,
Game Boy,Nemesis,"Action, Shooter",Ultra Games,"Konami Co., Ltd.",Apr-90,
Game Boy,Operation C,"Action, Platformer, Shooter",Ultra Games,"Konami Co., Ltd.",1991,
Game Boy,Pokémon Blue Version,RPG,Nintendo,Game Freak,30-Sep-98,Everyone
Game Boy,Pokémon Red Version,"Adventure, RPG","Nintendo of America, Inc.","Game Freak, Inc.",30-Sep-98,Everyone
Game Boy,Pokémon Trading Card Game,Cards,Coconuts Japan,Marionette,15-Jun-90,
Game Boy,Pokémon Yellow Version,"Action, RPG",Nintendo,"Game Freak, Inc.",19-Oct-99,Everyone
Game Boy,Super Mario Land,Platformer,"Nintendo of America, Inc.",Nintendo Co. Ltd.,1-Aug-89,
Game Boy,Super Mario Land 2: 6 Golden Coins,Platformer,"Nintendo of America, Inc.",Nintendo Co. Ltd.,1-Nov-92,
Game Boy,Tetris,"Action, Puzzle","Nintendo of America, Inc.",Bullet-Proof Software,1-Sep-89,
Game Boy,Wario Land II,Platformer,Nintendo,"Nintendo Co., Ltd.",31-Mar-98,
Game Boy,Wario Land: Super Mario Land 3,"Action, Platformer","Nintendo of America, Inc.",Nintendo Co. Ltd.,1-Feb-94,
Game Boy Advance,Advance Wars,Strategy,Nintendo,Intelligent Systems,11-Sep-01,
Game Boy Advance,Advance Wars 2: Black Hole Rising,Strategy,Nintendo,Intelligent Systems,23-Jun-03,
Game Boy Advance,Boktai: The Sun Is In Your Hand,"Action, Adventure, RPG",Konami,Konami,16-Sep-03,
Game Boy Advance,Castlevania: Circle of the Moon,"Adventure, RPG",Konami,Konami,8-Jun-01,
Game Boy Advance,Doom,Shooter,Activision,David A. Palmer IMS Productions,27-Oct-01,
Game Boy Advance,Doom II,Shooter,Activision,Torus Games,24-Oct-02,
Game Boy Advance,Final Fantasy V Advance,RPG,Nintendo,Square Enix,6-Nov-06,
Game Boy Advance,Final Fantasy VI Advance,RPG,Nintendo of America,Square Enix,5-Feb-07,Everyone 10+
Game Boy Advance,Fire Emblem,"Real Time Strategy, RPG, Strategy",Nintendo,Intelligent Systems,6-Nov-03,
Game Boy Advance,Fire Emblem: The Sacred Stones,"RPG, Strategy",Nintendo of America,Intelligent Systems,23-May-05,
Game Boy Advance,Frogger's Adventures: Temple of the Frog,Platformer,Konami,,23-Nov-01,
Game Boy Advance,Game & Watch Gallery 4,Compilation,Nintendo,Nintendo,28-Oct-02,
Game Boy Advance,Golden Sun,RPG,"Nintendo of America, Inc.",Camelot Software Planning,13-Nov-01,Everyone
Game Boy Advance,Golden Sun: The Lost Age,RPG,"Nintendo of America, Inc.",Camelot Software Planning,13-Apr-03,
Game Boy Advance,Gunstar Super Heroes,"Action, Adventure",Sega,Treasure,26-Oct-05,
Game Boy Advance,Harvest Moon: Friends of Mineral Town,RPG,SVG Distribution,Natsume Inc.,12-Nov-03,
Game Boy Advance,Harvest Moon: More Friends of Mineral Town,RPG,Marvelous Entertainment,TOSE,12-Dec-03,
Game Boy Advance,The Legend of Zelda: A Link to the Past w/ the Four Swords,"Action, RPG",Nintendo,Nintendo,3-Dec-02,
Game Boy Advance,The Legend of Zelda: The Minish Cap,"Action, RPG",Nintendo,Flagship,11-Jan-05,Everyone
Game Boy Advance,Mario Kart Super Circuit,Racing,Nintendo,Intelligent Systems,28-Aug-01,Everyone
Game Boy Advance,Medal of Honor: Infiltrator,"Action, Shooter",EA GAMES,HotGen Studios,18-Nov-03,
Game Boy Advance,Metroid Fusion,"Adventure, Shooter","Nintendo of America, Inc.",Nintendo Co. Ltd.,19-Nov-02,Everyone
Game Boy Advance,Metroid: Zero Mission,Shooter,"Nintendo of America, Inc.",Nintendo Co. Ltd.,10-Feb-04,Everyone
Game Boy Advance,Mother 3,RPG,Nintendo,Nintendo,20-Apr-06,
Game Boy Advance,Pokémon Emerald Version,RPG,Nintendo,Game Freak,29-Apr-05,
Game Boy Advance,Pokémon FireRed Version,RPG,Nintendo,Game Freak,8-Sep-04,
Game Boy Advance,Pokémon Leaf Green Version,RPG,Nintendo,Game Freak,8-Sep-04,
Game Boy Advance,Pokémon Ruby Version,RPG,Nintendo,Game Freak,18-Mar-03,
Game Boy Advance,Pokémon Sapphire Version,RPG,Nintendo,Game Freak,17-Mar-03,
Game Boy Advance,Super Mario Advance,"Adventure, Platformer",Nintendo,Nintendo,11-Jun-01,
Game Boy Advance,Super Mario Advance 3: Yoshi's Island,Platformer,Nintendo,Nintendo,11-Oct-02,
Game Boy Advance,Super Mario Advance 4: Super Mario Bros. 3,"Adventure, Platformer",Nintendo,Nintendo,21-Oct-03,Everyone
Game Boy Advance,Super Mario World: Super Mario Advance 2,"Action, Adventure, Platformer","Nintendo of America, Inc.",Nintendo,11-Feb-02,Everyone
Game Boy Advance,Sword of Mana,"Action, RPG",Nintendo,Square Enix,2-Dec-03,
Game Boy Advance,Wario Land 4,"Action, Platformer",Nintendo,Nintendo,16-Nov-01,
Game Boy Color,Game & Watch Gallery 2,Action,Nintendo,Nintendo EAD,1998,
Game Boy Color,Game & Watch Gallery 3,Action,"Nintendo of America, Inc.",Intelligent Systems,1999,
Game Boy Color,Harvest Moon 2,RPG,Natsume,Victor Interactive Software,30-Mar-01,
Game Boy Color,Harvest Moon 3,Simulation,Natsume,,2001,
Game Boy Color,Kirby's Tilt 'n' Tumble,"Action, Puzzle","Nintendo of America, Inc.",HAL Laboratory Inc.,23-Aug-01,
Game Boy Color,The Legend of Zelda: Oracle of Ages,"Adventure, RPG",Nintendo,Flagship,17-May-01,Everyone
Game Boy Color,The Legend of Zelda: Oracle of Seasons,"Adventure, RPG",Nintendo,Flagship,17-May-01,Everyone
Game Boy Color,Metal Gear Solid,"Action, Strategy",Konami,"Konami Computer Entertainment Japan Co., Ltd.",4-May-00,
Game Boy Color,Pokémon Crystal Version,RPG,Nintendo,"Game Freak, Inc.",30-Jul-01,
Game Boy Color,Pokémon Gold Version,RPG,Nintendo,Game Freak,14-Oct-00,Everyone
Game Boy Color,Pokémon Pinball,"Action, Pinball",Nintendo,Jupiter,31-Jul-99,
Game Boy Color,Pokémon Puzzle Challenge,Puzzle,Nintendo,Intelligent Systems,21-Sep-00,
Game Boy Color,Pokémon Silver Version,RPG,Nintendo,Game Freak,12-Oct-00,
Game Boy Color,Robopon: Sun Version,RPG,Atlus,,2000,
Game Boy Color,Super Mario Bros. Deluxe,"Action, Platformer",Nintendo,Nintendo,30-Apr-99,
Game Boy Color,Wario Land 3,Platformer,Nintendo,Nintendo R&D1,1-Jun-00,Everyone
GameCube,Battalion Wars,Strategy,Nintendo,Kuju Ent.,19-Sep-05,Teen
GameCube,Burnout 2: Point of Impact,Racing,Acclaim,Criterion Studios,8-Apr-03,Everyone
GameCube,Chibi-Robo,"Action/Adventure, Puzzle, Strategy",Nintendo,Nintendo,6-Feb-06,Everyone 10+
GameCube,Eternal Darkness: Sanity's Requiem,"Action/Adventure, Puzzle, Survival Horror",Nintendo,Silicon Knights,24-Jun-02,Mature
GameCube,F-Zero GX,Racing,Nintendo,Amusement Vision,26-Aug-03,Teen
GameCube,Game Boy Player Start-Up Disc,Other,Nintendo,"Nintendo of America, Inc.",24-Jun-03,
GameCube,Harvest Moon: A Wonderful Life,"Adventure, RPG",Natsume Inc.,Marvelous Interactive,16-Mar-04,Everyone
GameCube,The Legend of Zelda Collector's Edition,"Adventure, RPG",Nintendo,Nintendo,4-Nov-03,Everyone
GameCube,The Legend of Zelda: Four Swords Adventures,"Action/Adventure, RPG",Nintendo,Nintendo,7-Jun-04,Everyone
GameCube,Luigi's Mansion,Platformer,Nintendo,Nintendo,18-Nov-01,Everyone
GameCube,Mario Kart: Double Dash!!,Racing,Nintendo,Nintendo,17-Nov-03,Everyone
GameCube,Metroid Prime,"FPS, Shooter",Nintendo,Retro Studios,18-Nov-02,Teen
GameCube,Paper Mario: The Thousand-Year Door,"Platformer, RPG",Nintendo,Nintendo,11-Oct-04,Everyone
GameCube,Pikmin,"Adventure, Strategy",Nintendo,Nintendo,3-Dec-01,Everyone
GameCube,Resident Evil,"Action/Adventure, Survival Horror",Capcom,Capcom,1-May-02,Mature
GameCube,Resident Evil Zero,Survival Horror,Capcom,Capcom,12-Nov-02,Mature
GameCube,Star Fox Adventures,Action/Adventure,Nintendo,Rare,23-Sep-02,Teen
GameCube,Star Wars Bounty Hunter,"Action, Adventure, Shooter",LucasArts,LucasArts,4-Dec-02,Teen
GameCube,Star Wars Rogue Leader: Rogue Squadron II,"Flight Simulation, Shooter",LucasArts,Factor 5,18-Nov-01,Teen
GameCube,Star Wars Rogue Squadron III: Rebel Strike,"Flight Simulation, Shooter, Simulator",LucasArts,Factor 5,21-Oct-03,Teen
GameCube,StarFox Assault,"Action, Shooter",Nintendo,Bandai Namco,14-Feb-05,Teen
GameCube,Super Mario Sunshine,"Adventure, Platformer",Nintendo,Nintendo,26-Aug-02,Everyone
GameCube,Super Smash Bros. Melee,"Fighting, Party",Nintendo,HAL Labs,3-Dec-01,Teen
GameCube,Viewtiful Joe,"Action, Adventure, Fighting",Capcom,Capcom,7-Oct-03,Teen
GameCube,Wario World,"Action, Platformer",Nintendo,Treasure,23-Jun-03,Everyone
NES,1942,Shooter,Capcom,Capcom,Nov-86,
NES,1943: The Battle of Midway,Shooter,Capcom,Capcom,Oct-88,
NES,Adventure Island,Platformer,Hudson Soft,Hudson Soft,12-Sep-86,
NES,Adventure Island 3,Platformer,Hudson Soft,"Hudson Soft Co., Ltd.",Sep-92,
NES,Adventure Island II,Platformer,Hudson Soft,"Hudson Soft Co., Ltd.",Feb-91,
NES,After Burner,"Flight Simulation, Shooter",Tengen,JoWood,Jan-89,
NES,Bad Street Brawler,Action,Mattel Electronics,Beam Software Pty. Ltd.,Sep-89,
NES,Balloon Fight,Action,Nintendo,Hi-Tech,15-Dec-86,
NES,Batman: Return of the Joker,"Adventure, Shooter",Sunsoft,Sunsoft,Dec-91,
NES,Batman: The Video Game,"Action, Shooter",Sunsoft,Synapse Software,22-Dec-89,
NES,Battletoads,Action,"Tradewest, Inc.",Rare Ltd.,Jun-91,
NES,Bionic Commando,"Platformer, Shooter",Capcom,Capcom,Dec-88,
NES,Blaster Master,Shooter,Sunsoft,Sunsoft,1988,Everyone
NES,Bubble Bobble,Action,Taito,Taito,26-Oct-90,Everyone
NES,Castlevania,Action,Konami,Konami,26-Sep-86,
NES,Castlevania III: Dracula's Curse,"Action, Adventure",Konami,Konami,Sep-90,
NES,Castlevania II: Simon's Quest,"Adventure, RPG",Konami,Konami,Dec-88,
NES,Clash at Demonhead,Shooter,Vic Tokai Inc.,Vic Tokai Inc.,Dec-89,
NES,Commando,Shooter,"Capcom USA, Inc.","Capcom Co., Ltd.",1986,
NES,Contra,"Platformer, Shooter",Konami,Konami,2-Feb-88,
NES,Super C,Shooter,Konami,Konami,Mar-90,
NES,Crystalis,"Adventure, RPG",SNK Corporation of America,SNK Corporation,1990,
NES,Donkey Kong Classics,Action,"Nintendo of America, Inc.",Nintendo Co. Ltd.,Oct-88,
NES,Double Dragon,Action,"Tradewest, Inc.",Technos Japan Corp.,1988,
NES,Double Dragon II: The Revenge,Action,Acclaim,Technos Japan Corp.,Jan-90,
NES,Dr. Mario,Puzzle,Nintendo,Nintendo,Oct-90,Everyone
NES,Dragon Warrior,RPG,Nintendo,Enix Corporation,Aug-89,
NES,Dragon Warrior II,RPG,Enix,Enix Corporation,Oct-90,
NES,Dragon Warrior III,RPG,Enix,Enix Corporation,1992,
NES,Dragon Warrior IV,RPG,Enix,Enix Corporation,1-Oct-92,Wrong game
NES,Excitebike,"Racing, Sports",Nintendo,Nintendo,1-Sep-86,
NES,Faxanadu,"Action, Adventure, RPG","Nintendo of America, Inc.","Hudson Soft Co., Ltd.",Aug-89,
NES,Felix the Cat,Action,"Hudson Soft USA, Inc.","Hudson Soft Co., Ltd.",Oct-92,
NES,Final Fantasy,RPG,Square,Square,18-Dec-87,Wrong game
NES,Freedom Force,"Action, Shooter",Sunsoft,Sunsoft,Apr-88,
NES,G.I. Joe: A Real American Hero,Action,TAXAN USA Corporation,Hasbro,Jan-91,
NES,Galaga: Demons of Death,"Action, Shooter",Bandai,Namco,1988,
NES,Gargoyle's Quest II: The Demon Darkness,"Adventure, RPG","Capcom USA, Inc.","Capcom Co., Ltd.",Oct-92,
NES,Gauntlet,Action,Tengen,Tengen,1987,
NES,Gauntlet II,Action,Mindscape Inc.,Mindscape,Sep-90,
NES,Ghostbusters,Action,"Activision, Inc.",BITS Studios,1988,Teen
NES,Ghostbusters II,Action,"Activision, Inc.","Activision, Inc.",Apr-90,
NES,Ghosts'n Goblins,"Action, Adventure","Capcom USA, Inc.","Capcom Co., Ltd.",1986,
NES,Gradius,Shooter,"Konami of America, Inc.","Konami Co., Ltd.",1986,
NES,Ice Climber,Action,Nintendo,Nintendo,Oct-85,
NES,Iron Sword,"Action/Adventure, Platformer",Acclaim,Rare,Dec-89,
NES,Ironsword: Wizards and Warriors 2,Action/Adventure,"Acclaim Entertainment, Inc.",Rare Ltd.,Dec-89,
NES,Jackal,Shooter,Konami,Konami,Sep-88,
NES,Joust,Action,"HAL America, Inc.",Williams Entertainment Inc.,Oct-88,
NES,Kid Icarus,"Action, Shooter",Nintendo,Nintendo,Aug-87,
NES,Kirby's Adventure,Action,"Nintendo of America, Inc.",HAL Laboratory Inc.,May-93,
NES,Kung Fu,Fighting,Nintendo,Nintendo,Oct-85,
NES,The Legend of Zelda,"Action/Adventure, RPG",Nintendo,Nintendo,22-Aug-87,
NES,Life Force,Shooter,"Konami of America, Inc.","Konami Co., Ltd.",Aug-88,
NES,M.U.S.C.L.E.,Sports,"Bandai America, Inc.","Bandai Co., Ltd.",Oct-86,
NES,Mario Bros.,Action,"Nintendo of America, Inc.",Nintendo Co. Ltd.,14-Jul-83,
NES,Mega Man,Platformer,Capcom,Capcom,Dec-87,
NES,Mega Man 2,Platformer,Capcom,Capcom,Jun-89,
NES,Mega Man 3,"Platformer, Shooter",Capcom,Capcom,Dec-90,
NES,Mega Man 4,"Platformer, Shooter",Capcom,Capcom,Jan-92,
NES,Metroid,"Platformer, Shooter",Nintendo,Nintendo,6-Aug-86,
NES,Milon's Secret Castle,Action,"Hudson Soft USA, Inc.","Hudson Soft Co., Ltd.",Sep-88,
NES,Ninja Gaiden,Platformer,Tecmo,"Tecmo, Ltd.",Mar-89,
NES,Ninja Gaiden II: The Dark Sword of Chaos,Platformer,Tecmo,"Tecmo, Ltd.",6-May-90,
NES,Ninja Gaiden III: The Ancient Ship of Doom,"Action, Platformer","Tecmo, Inc.","Tecmo, Ltd.",21-Aug-91,
NES,Nobunaga's Ambition,"Action, Strategy",KOEI Corporation,KOEI,Jun-89,
NES,Pac-Man,Action,Tengen,Namco Ltd.,Nov-93,
NES,Paperboy,Racing,Mindscape Inc.,Mindscape Inc.,Dec-88,
NES,Pro Wrestling,"Sports, Wrestling","Nintendo of America, Inc.",Nintendo Co. Ltd.,Mar-87,
NES,Punch-Out!!,Sports,Nintendo of America,Nintendo,1985,
NES,R.C. Pro-Am,Racing,"Nintendo of America, Inc.",Rare Ltd.,Feb-88,
NES,Rad Racer,Racing,Nintendo,Square Co. Ltd.,Oct-87,
NES,Rad Racer II,"Racing, Sports","Square Soft, Inc.",Square Co. Ltd.,Jun-90,
NES,Rampage,Action,Data East Corporation,Data East Corp.,Dec-88,
NES,River City Ransom,"Action, Fighting",American Technos Inc.,Technos Japan Corp.,Jan-90,
NES,Rygar,"Action, Sports",Tecmo,Tecmo Ltd.,Oct-87,
NES,Skate or Die,Sports,Ultra Games,Konami,Dec-88,
NES,Ski or Die,Sports,Ultra Games,"Konami Co., Ltd.",Feb-91,
NES,StarTropics,"Adventure, RPG",Nintendo of America,Nintendo,Dec-90,
NES,Super Glove Ball,Action,Mattel Electronics,Rare Ltd.,1990,
NES,Super Mario Bros. / Duckhunt,Platformer,Nintendo USA,Nintendo,18-Oct-88,Everyone
NES,Super Mario Bros. 2,Platformer,Nintendo,Nintendo,10-Oct-88,
NES,Super Mario Bros. 3,Platformer,Nintendo,Nintendo,12-Feb-90,
NES,Super Mario Bros./Duck Hunt/World Class Track Meet,"Retro, Sports",Nintendo,Nintendo,1988,
NES,Swords and Serpents,RPG,"Acclaim Entertainment, Inc.","Interplay Productions, Inc.",1990,
NES,Tecmo Bowl,Sports,"Tecmo, Inc.","Tecmo, Ltd.",1-Feb-89,
NES,Tecmo Super Bowl,Sports,"Tecmo, Inc.","Tecmo, Ltd.",1991,
NES,Teenage Mutant Ninja Turtles,Action,Palcom,Konami,17-Aug-90,Kids to Adults
NES,Teenage Mutant Ninja Turtles II: The Arcade Game,Action,Ultra Games,Konami,1990,
NES,Teenage Mutant Ninja Turtles III: The Manhattan Project,Action,"Konami of America, Inc.","Konami Co., Ltd.",1992,Kids to Adults
NES,Tetris,Puzzle,Nintendo,Nintendo,22-Dec-88,
NES,The Three Stooges,Action,"Activision, Inc.",Beam Software Pty. Ltd.,1989,
NES,Track & Field II,Sports,"Konami of America, Inc.","Konami Co., Ltd.",1989,
NES,Wheel of Fortune: Family Edition,,GameTek,Rare Ltd.,1990,
NES,Wrecking Crew,Action,"Nintendo of America, Inc.",Nintendo Co. Ltd.,18-Oct-85,
NES,Zelda II: The Adventure of Link,RPG,Nintendo,Nintendo,1-Mar-88,Everyone
NES,Zoda's Revenge: Star Tropics II,RPG,Nintendo,Nintendo,1994,
Nintendo DS,Advance Wars: Days of Ruin,Strategy,Nintendo,Intelligent Systems,21-Jan-08,Everyone 10+
Nintendo DS,Advance Wars: Dual Strike,Strategy,Nintendo,Intelligent Systems,22-Aug-05,Everyone
Nintendo DS,Age of Empires: The Age of Kings,Strategy,Majesco Entertainment,Backbone Entertainment,14-Feb-06,Everyone 10+
Nintendo DS,Battle of Giants: Dragons,Adventure,Ubisoft,Ubisoft,29-Sep-09,Everyone 10+
Nintendo DS,Brain Age,"Puzzle, Trivia",Nintendo,Nintendo,17-Apr-06,Everyone
Nintendo DS,Brain Age 2: More Training in Minutes a Day,"Educational, Puzzle",Nintendo,Nintendo,20-Aug-07,Everyone
Nintendo DS,Castlevania: Dawn of Sorrow,"Action/Adventure, Platformer",Konami Digital Entertainment,Konami,4-Oct-05,Teen
Nintendo DS,Castlevania: Portrait of Ruin,"Adventure, RPG",Konami Digital Entertainment,Konami,5-Dec-06,Teen
